NMHMNPHRMNGLLB-UHFFFAOYSA-N	Hydroxyphenyl Propionic Acid
SBJKKFFYIZUCET-JLAZNSOCSA-N	Dehydroascorbic Acid
YASAKCUCGLMORW-ZXSOXEPXSA-N	Rosiglitazone
CRNXHFXAXBWIRH-UHFFFAOYSA-N	(2-[2-Ketopropylthio]Ethanesulfonate
ZQPPMHVWECSIRJ-KTKRTIGZSA-M	Oleic Acid
PHOJOSOUIAQEDH-UHFFFAOYSA-N	5-hydroxyvaleric acid
XVDFMHARQUBJRE-UHFFFAOYSA-N	Betahistine
WPAPODFGOZXFLG-UHFFFAOYSA-N	6-(2,4-DIAMINO-6-ETHYLPYRIMIDIN-5-YL)-4-(3-METHOXYPROPYL)-2,2-DIMETHYL-2H-1,4-BENZOXAZIN-3(4H)-ONE
LMXOHSDXUQEUSF-YECHIGJVSA-N	Adenosyl-Ornithine
IAGQNKXBDXVWPR-UHFFFAOYSA-N	Sulpiride
SMNDYUVBFMFKNZ-UHFFFAOYSA-N	Pyridin-3-Ylmethanol
TZBJGXHYKVUXJN-MZWXYZOWSA-N	Genistein
PSUOZWHAKZSNOB-LBPRGKRZSA-N	TRW3-(2-AMINO-3-HYDROXY-PROPYL)-6-(N'-CYCLOHEXYL-HYDRAZINO)OCTAHYDRO-INDOL-7-OL
PBHFNBQPZCRWQP-UHFFFAOYSA-N	Phenserine
ZIBNHXDMCOIWPF-QFFSQUDBSA-N	1,6,7,8,9,11A,12,13,14,14A-DECAHYDRO-1,13-DIHYDROXY-6-METHYL-4H-CYCLOPENT[F]OXACYCLOTRIDECIN-4-ONE
QWVWXRKHAXWWSV-OZIWPBGVSA-N	Progesterone
AEMRFAOFKBGASW-UHFFFAOYSA-M	Hydroxyacetic Acid
VHGCDTVCOLNTBX-KRWDZBQOSA-N	Atomoxetine
PLJNUNPYZVVIRA-UHFFFAOYSA-N	6-amino-2-methyl-1,7-dihydro-8H-imidazo[4,5-g]quinazolin-8-one
AKYNJTFOHFQPEM-JRLZQBLDSA-N	Budesonide
DNBPMBJFRRVTSJ-UHFFFAOYSA-N	5-Methoxy-N,N-diisopropyltryptamine
VOXZDWNPVJITMN-MOKSCAJFSA-N	Estradiol
MMXZSJMASHPLLR-UHFFFAOYSA-N	Pyrroloquinoline Quinone
AYFCYVLVRYQGME-QGZVFWFLSA-N	(1R)-N,6-DIHYDROXY-7-METHOXY-2-[(4-METHOXYPHENYL)SULFONYL]-1,2,3,4-TETRAHYDROISOQUINOLINE-1-CARBOXAMIDE
CKCDJVLQWVSVGU-UUOKFMHZSA-N	Guanosine-5'-Diphosphate
XVQJTFMKKZBBSX-UHFFFAOYSA-N	indane-5-sulfonamide
ODEGQXRCQDVXSJ-UHFFFAOYSA-N	Betameprodine
SFRXRARCBKLZLZ-WHFBIAKZSA-N	Glutathione
KYXLHCQSLKXNMU-UHFFFAOYSA-N	Ellagic Acid
ALFGKMXHOUSVAD-UHFFFAOYSA-N	Ketobemidone
QGWNDRXFNXRZMB-UUOKFMHZSA-K	Guanosine-5'-Diphosphate
VWNONHZCCMYIGR-PQRLTTHHSA-N	4'-Nitrophenyl-3i-Thiolaminaritrioside
QFJCIRLUMZQUOT-FDVMEOFTSA-N	Sirolimus
BMHVHOJXEQTIEA-SIKLNZKXSA-N	1-[2-AMINO-2-CYCLOHEXYL-ACETYL]-PYRROLIDINE-3-CARBOXYLIC ACID 5-CHLORO-2-(2-ETHYLCARBAMOYL-ETHOXY)-BENZYLAMIDE
IOVGROKTTNBUGK-UHFFFAOYSA-N	Ritodrine
UNRHXEPDKXPRTM-UHFFFAOYSA-N	Amisulpride
IERHLVCPSMICTF-XVFCMESISA-N	Cytidine-5'-Monophosphate
GUBGYTABKSRVRQ-TYAPZPMWSA-N	Lactose
WKEIECNUXCQFAJ-OBZMNZJLSA-N	Polymyxin B Sulfate
VVOIQBFMTVCINR-WWMZEODYSA-N	Desoxycorticosterone Pivalate
KFNRJXCQEJIBER-ZCFIWIBFSA-N	Gabaculine
OMOPDEZZBQHMGS-AWEZNQCLSA-N	N-(4-Aminobutanoyl)-S-(4-Methoxybenzyl)-L-Cysteinylglycine
IERHLVCPSMICTF-ZAKLUEHWSA-N	Cytidine-5'-Monophosphate
IQUGFGUZFMHEIW-LSLOANPCSA-N	Propanoic Acid
HKNYNJKPAIZVMF-CPAYTQKJSA-N	Chlorophyll A
SRSSTOPJERVMRZ-UHFFFAOYSA-N	3-phenyl-5-(1H-pyrazol-3-yl)isoxazole
ICRIFHIWWXQBPY-JEJJNBGPSA-N	GSHNA
NAACPBBQTFFYQB-HNZPGTTISA-N	Cholesteryl Linoleate
KMIPKYQIOVAHOP-YLGJWRNMSA-N	Cefditoren
BLGXFZZNTVWLAY-MRXVMPTPSA-N	Yohimbine
QOFQTBTZCJVITI-UHFFFAOYSA-N	Lornoxicam
PGKUSHWBQJPFOP-LBPRGKRZSA-N	(7as,12ar,12bs)-1,2,3,4,7a,12,12a,12b-Octahydroindolo[2,3-a]Quinolizin-7(6h)-One
QOPFTBAEAJQKSY-UHFFFAOYSA-N	2-{4-[4-(4-Chloro-Phenoxy)-Benzenesulfonyl]-Tetrahydro-Pyran-4-Yl}-N-Hydroxy-Acetamide
VRYALKFFQXWPIH-SRQIZXRXSA-N	2-deoxyglucose
ONMZMZJEZHMWQL-UHFFFAOYSA-N	Estriol
WBWWGRHZICKQGZ-HLMSLKHSSA-N	Taurocholic Acid
YXEXNGWPUWJMIT-LLVKDONJSA-N	N-Pyridoxyl-7-Keto-8-Aminopelargonic Acid-5'-Monophosphate
IGBPMPCWLMBOCO-UHFFFAOYSA-N	Propyl Acetate
UWSFTDFHOGCIEL-UHFFFAOYSA-N	Dimethylallyl S-Thiolodiphosphate
CJTXQMMNCJXYKM-WNHLMTAUSA-N	Biliverdine Ix Alpha
LFCFXZHKDRJMNS-UHFFFAOYSA-L	Magnesium Sulfate
XOZIUKBZLSUILX-UKMAFROXSA-N	Epothilone D
AREIDTXHLIVRLL-RUZDIDTESA-N	Repaglinide
SQWZFLMPDUSYGV-POHAHGRESA-N	5-QUINOXALIN-6-YLMETHYLENE-THIAZOLIDINE-2,4-DIONE
YZWVMKLQNYGKLJ-UHFFFAOYSA-N	1-(2-Methoxy-Ethoxy)-2-{2-[2-(2-Methoxy-Ethoxy]-Ethoxy}-Ethane
XTMOQAKCOFLCRZ-UHFFFAOYSA-N	NCX 701
RSQSQJNRHICNNH-UCSIGQDFSA-N	GIBBERELLIN A4
SAQKAFDAJWPKQB-DWRTXULVSA-N	Latrunculin A
CLDDOKCDXBMMKZ-LIRRHRJNSA-N	BENZOYL-TYROSINE-ALANINE-METHYL KETONE
VWVSBHGCDBMOOT-IIEHVVJPSA-N	Desoximetasone
MCGSCOLBFJQGHM-PEHGTWAWSA-N	Abacavir
AYIIQABSVDIZSY-UHFFFAOYSA-N	6-PHENYL[5H]PYRROLO[2,3-B]PYRAZINE
DGBIGWXXNGSACT-KTXZGTEKSA-N	Clonazepam
AXQRPYKSPHUOGZ-UHFFFAOYSA-N	CHR-2797
OJNFDOAQUXJWED-XCSFTKGKSA-N	Tatp
DNXHEGUUPJUMQT-FBTOOEPESA-N	Estrone
SCHAHXXLASZJCD-JKDFXYPNSA-N	S-(N-Hydroxy-N-Iodophenylcarbamoyl)Glutathione
JZAAQQQUSHZFSS-KFBHOTNXSA-M	Chlorophyll A
LJQBMYDFWFGESC-IONNQARKSA-N	4-Methylaminorex
KYQZWONCHDNPDP-NFRVFMFJSA-N	Daidzin
MICRXLHQZZIRJC-JOZPWPINSA-N	Zinc Substituted Heme C
NVMCVWOODOWOLT-UHFFFAOYSA-N	[4-({4-[(5-cyclopropyl-1H-pyrazol-3-yl)amino]quinazolin-2-yl}amino)phenyl]acetonitrile
SZAVCZNFKJSWRN-LBPRGKRZSA-M	Brodimoprim-4,6-Dicarboxylate
WEBVWKFGRVLCNS-XLPZGREQSA-N	5-Hydroxymethyluridine-2'-Deoxy-5'-Monophosphate
CJOFXWAVKWHTFT-XSFVSMFZSA-N	Fluvoxamine
COMNHTJXRHFZLB-PTNGSMBKSA-N	4-[1-allyl-7-(trifluoromethyl)-1H-indazol-3-yl]benzene-1,3-diol
OLBCVFGFOZPWHH-CRSPMMAGSA-N	Propofol
KDLRVYVGXIQJDK-LTKXHINDSA-N	Clindamycin
ILBCZTCSQXPTTI-RZPXIRCYSA-N	Acarbose
HVYWMOMLDIMFJA-MFYRMPRMSA-N	Cholesterol
FEDSNBHHWZEYTP-QQPYHFHTSA-N	Penbutolol
KNTGXMNWVXZIMW-UHFFFAOYSA-N	1-[5-methyl-2-(trifluoromethyl)furan-3-yl]-3-[(2Z)-5-(2-{[6-(1H-1,2,4-triazol-3-ylamino)pyrimidin-4-yl]amino}ethyl)-1,3-thiazol-2(3H)-ylidene]urea
UPJNMOBJDSFRTI-FCEWJHQRSA-N	O-(((1R)-((N-PHENYLMETHOXYCARBONYL-L-ALANYL)AMINO)ETHYL)HYDROXYPHOSPHONO)-L-BENZYLACETIC ACID
OVRNDRQMDRJTHS-JAJWTYFOSA-N	2-(Acetylamino)-2-Deoxy-a-D-Glucopyranose
SVFLQOLSPWURCD-MJVPYHJASA-N	Inhibitor Msa367
MYPYJXKWCTUITO-FJCYQOGASA-N	Vancomycin
PSGAAPLEWMOORI-XNDWCRNRSA-N	Medroxyprogesterone Acetate
YXPVEXCTPGULBZ-CZEXFEQNSA-N	Entecavir
YOFSAJUCIHUBBX-QXQLJEMJSA-N	Propanoic Acid
BILNHRKMYDECAG-TUAMQMFNSA-M	Chlorophyll A
FEWJPZIEWOKRBE-LWMBPPNESA-N	D-tartaric acid
YERSJWXVDXCPCP-VIFPVBQESA-N	2,4-Dinitro,5-[Bis(2-Bromoethyl)Amino]-N-(2',3'-Dioxopropyl)Benzamide
SQQAPOSROFWHIB-UHFFFAOYSA-N	N~4~-(3-methyl-1H-indazol-6-yl)-N~2~-(3,4,5-trimethoxyphenyl)pyrimidine-2,4-diamine
ZOAMBXDOGPRZLP-UHFFFAOYSA-N	2-(1H-INDOL-3-YL)ACETAMIDE
BEEDODBODQVSIM-UHFFFAOYSA-N	Oxymetazoline
IOSAAWHGJUZBOG-WDEREUQCSA-N	(2S,3R)-3-(6-amino-9H-purin-9-yl)nonan-2-ol
PPQJCISYYXZCAE-UHFFFAOYSA-N	1,10-Phenanthroline
WCZSIWTZAGXNHH-BZZYXQPOSA-L	Bacteriochlorophyll A
NRNCYVBFPDDJNE-UHFFFAOYSA-N	Pemoline
JMBQKKAJIKAWKF-UHFFFAOYSA-N	Glutethimide
DMJNNHOOLUXYBV-XFVKVHEMSA-N	Meropenem
COLNVLDHVKWLRT-QMMMGPOBSA-N	L-Phenylalaninol
WVNRRNJFRREKAR-JGVFFNPUSA-N	2',3'-Dideoxythymidine-5'-Monophosphate
IMPVZRLKKKXMKQ-SGDOCVTFSA-N	Benzylpenicilloyl Polylysine
RWSXRVCMGQZWBV-WDSKDSINSA-M	Glutathione
HFJZCZRXEIYFJN-XMMPIXPASA-N	Diundecyl Phosphatidyl Choline
DJCQJZKZUCHHAL-SREVYHEPSA-N	Oleic Acid
SMFRBBHLVBWHGB-DJJJIMSYSA-N	1-((1R,2S)-1-{2-[2-(4-CHLOROPHENYL)-1,3-BENZOXAZOL-7-YL]ETHYL}-2-HYDROXYPROPYL)-1H-IMIDAZOLE-4-CARBOXAMIDE
GVXQTSANZTYUDJ-UHFFFAOYSA-H	Calcium Chloride
RDFYSUFNGGYNSK-NRFANRHFSA-N	PSN357
SPJAGILXQBHHSZ-UHFFFAOYSA-N	1-((2-HYDROXYETHOXY)METHYL)-5-BENZYLPYRIMIDINE-2,4(1H,3H)-DIONE
LSNNMFCWUKXFEE-UHFFFAOYSA-N	2-(N-Morpholino)-Ethanesulfonic Acid
XFTRTWQBIOMVPK-YFKPBYRVSA-N	Citric Acid
CFCUWKMKBJTWLW-BKHRDMLASA-N	Plicamycin
XYEPUTZVZYUENX-UHFFFAOYSA-N	N-(QUINOLIN-8-YL)METHANESULFONAMIDE
CFCMMYICHMLDCC-RVPLDQIASA-N	Streptomycin
MGQJPZMYRGPJRK-RKQHYHRCSA-N	Ly231514 Tetra Glu
YKAYCWPQDPILSA-RXMQYKEDSA-N	4-Bromo-3-Hydroxy-3-Methyl Butyl Diphosphate
CZKNSZUJCJHTTM-UHFFFAOYSA-N	N-Benzyl-4-Sulfamoyl-Benzamide
ZIYVHBGGAOATLY-UHFFFAOYSA-N	Methylmalonic Acid
GRAUOYNEIPSZRQ-FPSBBOAFSA-N	Chlorophyll A
LYHLPPXMBKMSSZ-JQFCFGFHSA-N	Inhibitor Bea403
WZEXTLJNSXEEHK-LJEXEIFSSA-N	Succinamide-Coa
WXURHACBFYSXBI-DRBBXQFKSA-N	Diflorasone
RHHOLZCXVIYDAY-UHFFFAOYSA-N	1-(5-Chloroindol-3-Yl)-3-Hydroxy-3-(2h-Tetrazol-5-Yl)-Propenone
CZTNDZALWLHXBA-UHFFFAOYSA-N	1-(3,5-DICHLOROPHENYL)-5-METHYL-1H-1,2,4-TRIAZOLE-3-CARBOXYLIC ACID
CAWXCABXSPTFRN-UHFFFAOYSA-N	1-((2-HYDROXYETHOXY)METHYL)-5-(3-(BENZYLOXY)BENZYL)-6-HYDROXYPYRIMIDINE-2,4(1H,3H)-DIONE
UXOYJQMPYTYCMG-UHFFFAOYSA-N	4-(2-HYDROXY-4-FLUOROPHENYLTHIO)-BUTYLPHOSPHONIC ACID
FSKKRHPAXFVTDX-UHFFFAOYSA-N	2-[4-(4-Chlorophenyl)Cyclohexylidene]-3,4-Dihydroxy-1(2h)-Naphthalenone
KTVPXOYAKDPRHY-MBMOQRBOSA-N	[(2r,3s,4s,5r)-3,4,5-Trihydroxytetrahydrofuran-2-Yl]Methyl Dihydrogen Phosphate
UYEMNFYVTFDKRG-ZNGNCRBCSA-N	Undecyl-Beta-D-Maltopyranoside
LXPBNQBKDOBTDL-RXMQYKEDSA-N	4-Bromo-3-Hydroxy-3-Methyl Butyl Diphosphate
ZLPUGFBBLGQWBS-UHFFFAOYSA-N	N-Sulfo-Flavin Mononucleotide
COLNVLDHVKWLRT-LBZBLIHUSA-N	L-Phenylalanine
JVLBPIPGETUEET-KVAQUGBLSA-O	Methylnaltrexone
ADNUSXMBYGPKTH-UHFFFAOYSA-N	OPC-28326
DRTQHJPVMGBUCF-CCXZUQQUSA-N	Uridine
RAJWOBJTTGJROA-ZXRSWKFCSA-N	Androstanedione
XDDQNOKKZKHBIX-VMHOVUQGSA-N	Temocapril
RCDJYPMTAULDAE-UHFFFAOYSA-M	Acamprosate
DXDFYFWCTFOSIL-UYXJDIDZSA-N	4-Diphosphocytidyl-2-C-Methyl-D-Erythritol
ASBDXHCMVYVJQQ-UHFFFAOYSA-N	Ethyl Oxo(Piperidin-1-Yl)Acetate
HMCRLFVYYFBZEZ-OQSIOIOUSA-N	3-Aminomethyl-Pyridinium-Adenine-Dinucleotide
QZBQVXXESPXFPZ-QGZVFWFLSA-N	(3R)-3-cyclopentyl-7-[(4-methylpiperazin-1-yl)sulfonyl]-3,4-dihydro-2H-1,2-benzothiazine 1,1-dioxide
HOBWAPHTEJGALG-YMCAWCDYSA-N	Hyoscyamine
ZFXYFBGIUFBOJW-UHFFFAOYSA-N	Aminophylline
RIWLPSIAFBLILR-WVNGMBSFSA-N	ABT-510
YKWQAUYAKXUXMO-UHFFFAOYSA-N	CP-122721
SRBFZHDQGSBBOR-CZBDKTQLSA-N	L-Xylopyranose
ZFFIZZXYOLCUDD-AIXGLBGOSA-N	Jaspisamide A
DIKBFYAXUHHXCS-MICDWDOJSA-N	Tribromomethane
MBXKBJLIESPLIK-UHFFFAOYSA-N	4-[(7-OXO-7H-THIAZOLO[5,4-E]INDOL-8-YLMETHYL)-AMINO]-N-PYRIDIN-2-YL-BENZENESULFONAMIDE
WKDMPDYUJKSXBW-KBHCAIDQSA-N	9-Deazainosine
VYFYYTLLBUKUHU-UHFFFAOYSA-O	Dopamine
FWOSIXWCQIOMSW-HNNXBMFYSA-N	Bacampicillin
ROHFNLRQFUQHCH-RXMQYKEDSA-N	D-Leucine
KVDKNVPAAQKHKD-UHFFFAOYSA-N	4-(4-CHLORO-PHENYL)-1-{3-[2-(4-FLUORO-PHENYL)-[1,3]DITHIOLAN-2-YL]-PROPYL}-PIPERIDIN-4-OL
SYAKTDIEAPMBAL-UHFFFAOYSA-N	Aminorex
XDHNQDDQEHDUTM-NUNRURMOSA-N	Bafilomycin A1
ALEXXDVDDISNDU-UHFFFAOYSA-N	Hydrocortisone
OFHCOWSQAMBJIW-KEMKUCJPSA-N	Alfacalcidol
ZXHQLEQLZPJIFG-UHFFFAOYSA-N	(Hydroxyethyloxy)Tri(Ethyloxy)Octane
NRLIFEGHTNUYFL-MTKJPOGLSA-N	Brasofensine
SKCKOFZKJLZSFA-BXKVDMCESA-N	L-Rhamnitol
WEBIGFWVVJVCDM-VEELZWTKSA-N	Dimethyl fumarate
ZLHVIYHWWQYJID-HNNXBMFYSA-N	4'-Hydroxyflavanone
MRAUNPAHJZDYCK-BYPYZUCNSA-N	Nitroarginine
FFDKYFGBIQQMSR-UHFFFAOYSA-N	N-Propyl Isocyanide
CWAMVSRMSSOMLL-MRXNPFEDSA-N	(3r)-3-{[(Benzyloxy)Carbonyl]Amino}-2-Oxo-4-Phenylbutane-1-Diazonium
XQKKWWCELHKGKB-UHFFFAOYSA-L	Calcium Acetate
INDBQLZJXZLFIT-UHFFFAOYSA-O	Primaquine
BBCCQANBCHACAE-TUTYNZERSA-N	Benzylpenicilloyl Polylysine
VOXZDWNPVJITMN-RZFLPCETSA-N	Estradiol
UHHLFEVBICQNLM-FNYDNKIFSA-N	N-Acetyl-D-glucosamine
PRFXRIUZNKLRHM-RYPCXPIFSA-N	Prostaglandin B2
PUVHMWJJTITUGO-WJPCITMWSA-N	Inositol 1,3-Bisphosphate
ORNBQBCIOKFOEO-FSEDFMJGSA-N	Pregnenolone
LXMSZDCAJNLERA-KEKCRQEXSA-N	Spironolactone
AEMFNILZOJDQLW-QAGGRKNESA-N	4-Androstenedione
KMIPKYQIOVAHOP-OYDMTHCQSA-N	Cefditoren
AGOYDEPGAOXOCK-AVDMLEEESA-N	Clarithromycin
QCVOCLNEIVZAML-TWOGKDBTSA-N	Guanosine
COLNVLDHVKWLRT-NTSAWBDMSA-N	L-Phenylalanine
SZHRIPFGZWWRKW-VIFPVBQESA-N	LY374571
LLPOLZWFYMWNKH-QPDIMZNGSA-N	Hydrocodone
FHLWOMHEZIMJJW-UHFFFAOYSA-N	Losartan
GWYFCOCPABKNJV-SLGHBYJISA-N	Isovaleric Acid
MOMPMXYTSHYNQG-ZDUSSCGKSA-N	Chlorhexadol
BYSXBFJVGIOFBO-BZNQNGANSA-N	5-Aminocarbonyl-3-Nitrophenyl-Alpha-D-Galactopyranose
CZFFMUMOBDIXJU-ZCFIWIBFSA-N	N-Succinyl Methionine
ALKJNCZNEOTEMP-UHFFFAOYSA-N	XL228
XHLKOHSAWQPOFO-UHFFFAOYSA-N	4-Phenyl-1h-Imidazole
KNNXRCJBAKASSD-AHKIGRPSSA-O	Bis(Adenosine)-5'-Pentaphosphate
MUMGGOZAMZWBJJ-DYKIIFRCSA-N	Methyltestosterone
ZDXPYRJPNDTMRX-VKHMYHEASA-N	D-Glutamine
WUOLYUKMMRCXGH-UHFFFAOYSA-N	3-[4-(2-METHYL-IMIDAZO[4,5-C]PYRIDIN-1-YL)BENZYL]-3H-BENZOTHIAZOL-2-ONE
RONLONYAIBUEKT-IBGZPJMESA-N	Cp403700, (S)-1-{2-[(5-Chloro-1h-Indole-2-Carbonyl)-Amino]-3-Phenyl-Propionyl}-Azetidine-3-Carboxylate
GTPCBIFZJAPDKZ-OFOSEUHBSA-N	Chlorophyll A
JYGXADMDTFJGBT-VWUMJDOOSA-N	(11alpha,14beta)-11,17,21-trihydroxypregn-4-ene-3,20-dione
YJPUATSIKWOSST-UHFFFAOYSA-N	N-[4-(benzyloxy)phenyl]glycinamide
QLHUDNKWOSQSMK-CXUHLZMHSA-N	4-[[(1E)-2-(4-CHLOROPHENYL)ETHENYL]SULFONYL]-1-[[1-(4-PYRIDINYL)-4-PIPERIDINYL]METHYL]PIPERAZINONE
YIIGMETYCAAZBV-VIFPVBQESA-N	Coenzyme A
FEYHMSUYKIMUAL-UNYLCCJPSA-N	Deoxythymidine
QXRSDHAAWVKZLJ-MMOJOJFKSA-N	Epothilone B
NOVISNOBVMTNFW-UHRBTVRCSA-N	Chlorophyll A
PHBDHXOBFUBCJD-KQYNXXCUSA-N	Phosphomethylphosphonic Acid-Guanylate Ester
DJTOLSNIKJIDFF-PHFHYRSDSA-N	16,17-Androstene-3-Ol
VHFGEBVPHAGQPI-QTKGYWJNSA-N	Oritavancin
ZCGOMHNNNFPNMX-TUXHGLMRSA-N	Levocabastine
LQCLVBQBTUVCEQ-BFKGUNNCSA-N	Troleandomycin
OEXFMSFODMQEPE-VIIGDLKUSA-N	Hexanoyl-Coenzyme A
SMZUMFSKQVVOOV-WCBMZHEXSA-N	2-Hydroxy-3-Amino-4-Phenyl Butane
OZKVMNTVUAGULY-VMJMSTHCSA-N	Acetaminophen
SJDDOCKBXFJEJB-MOKWFATOSA-N	VX-765
IVTVGDXNLFLDRM-UHFFFAOYSA-N	Raltitrexed
SPSGYTWOIGAABK-DQEYMECFSA-N	{4-[2-Acetylamino-2-(3-Carbamoyl-2-Cyclohexylmethoxy-6,7,8,9-Tetrahydro-5h-Benzocyclohepten-5ylcarbamoyl)-Ethyl]-2-Phosphono-Phenyl}-Phosphonic Acid
XEEQGYMUWCZPDN-WFASDCNBSA-N	Mefloquine
JQSHBVHOMNKWFT-DTORHVGOSA-N	Varenicline
DROQKKQLBVLPJT-AVBBJHJFSA-L	Bacteriochlorophyll A
JYJIGFIDKWBXDU-MNNPPOADSA-N	Inulin
WPMVLDMXZVLHNH-UHFFFAOYSA-N	Tosyl-D-Proline
QXKHYNVANLEOEG-UHFFFAOYSA-N	Methoxsalen
XDHNQDDQEHDUTM-YJSQNSDISA-N	Bafilomycin A1
HQDGQKLBDFTNEM-UHFFFAOYSA-N	(Hydroxyethyloxy)Tri(Ethyloxy)Octane
GSXOAOHZAIYLCY-NGJCXOISSA-N	Fructose -6-Phosphate
YDXZRYZRBMQYBK-UHFFFAOYSA-N	(Hydroxyethyloxy)Tri(Ethyloxy)Octane
QFXXRJSDEMCBPH-ARDNSNSESA-N	(S)-2-Amino-4-[(2s,3r)-2,3,5-Trihydroxy-4-Oxo-Pentyl]Mercapto-Butyric Acid
MUMPWBOLVJXOIW-DUORHPRISA-N	Latrunculin A
BUCZDJYEOAQTHL-VXKWHMMOSA-N	(1S)-2-(1H-INDOL-3-YL)-1-{[(5-ISOQUINOLIN-6-YLPYRIDIN-3-YL)OXY]METHYL}ETHYLAMINE
CNSYUAXNGSGAPA-UHTZMRCNSA-N	Phosphoaminophosphonic Acid-Adenylate Ester
SBQZGPGPBYTXCV-SZKNIZGXSA-N	3-(4-DIETHYLAMINO-2-HYDROXY-PHENYL)-2-METHYL-PROPIONIC ACID
NGGMYCMLYOUNGM-CSDLUJIJSA-N	Fumagillin
SDADNVAZGVDAIM-QTNLNCNHSA-N	D-Glycero-D-Mannopyranose-7-Phosphate
WSHYKIAQCMIPTB-UHFFFAOYSA-M	Warfarin
CFMYXEVWODSLAX-QOZOJKKESA-N	Tetrodotoxin
XXSMGPRMXLTPCZ-UHFFFAOYSA-N	Hydroxychloroquine
LFMOJNDZFCHHPV-UHFFFAOYSA-N	2-{[Formyl(Hydroxy)Amino]Methyl}-4-Methylpentanoic Acid
NMVPEQXCMGEDNH-NLYPMKEPSA-N	Ceftazidime
COOFBZUOVULJOG-JTQLQIEISA-N	1(R)-1-Acetamido-2-(3-Carboxyphenyl)Ethyl Boronic Acid
PJMPHNIQZUBGLI-UHFFFAOYSA-N	Fentanyl
RQJFMVLTCXOMFD-XCCPJCIBSA-O	Tubocurarine
MLDQJTXFUGDVEO-UHFFFAOYSA-N	Sorafenib
XTMNKERQBBIEOT-UHFFFAOYSA-N	Phthalic Acid
QHILGZZAWHCEGW-UHFFFAOYSA-N	2-Amino-6-Aminomethyl-8-Phenylsulfanylmethyl-3h-Quinazolin-4-One
BVNQCAHTTOIOEK-QWHCGFSZSA-N	1-(4-Tert-Butylcarbamoyl-Piperazine-1-Carbonyl)-3-(3-Guanidino-Propyl)-4-Oxo-Azetidine-2-Carboxylic Acid
DMJNNHOOLUXYBV-AYAQEJOPSA-N	Meropenem
NYDXNILOWQXUOF-FFXKMJQXSA-L	Pemetrexed
LQCLVBQBTUVCEQ-RNTDHYJUSA-N	Troleandomycin
ZFFIZZXYOLCUDD-JMRZXEDWSA-N	Jaspisamide A
WFXFYZULCQKPIP-UHFFFAOYSA-N	Prazosin
ZYLUFTNLRAGXLR-DUXPYHPUSA-N	4-(2-Amino-Ethoxy)-2-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Amino]-but-3-Enoic Acid
ISHXLNHNDMZNMC-VTKCIJPMSA-N	Norelgestromin
FVEFRICMTUKAML-UHFFFAOYSA-M	Sodium Tetradecyl Sulfate
LCTONWCANYUPML-OUBTZVSYSA-N	Pyruvic acid
XWXYUMMDTVBTOU-UHFFFAOYSA-N	Nilutamide
GMRQFYUYWCNGIN-AJLHTKDZSA-N	Calcitriol
ODQWQRRAPPTVAG-NSUNFFQKSA-N	Doxepin
ZULTVWFLRZJENJ-AREMUKBSSA-N	1-Octadecyl-2-Acetamido-2-Deoxy-Sn-Glycerol-3-Phosphoethylmethyl Sulfide
XKOWXSWOEJSVEG-PBVYKCSPSA-N	5-(7-(5-HYDRO-4-METHYL-2-OXAZOLYL)PHENOXY)HEPTYL)-3-METHYL ISOXAZOLE
ZCAGEXZTORJQDZ-UHFFFAOYSA-N	IDD552
BTNMPGBKDVTSJY-UHFFFAOYSA-N	3-Phenylpyruvic Acid
JNDRKUYQVZRELI-DJNXLDHESA-N	3-[(5s)-1-Acetyl-3-(2-Chlorophenyl)-4,5-Dihydro-1h-Pyrazol-5-Yl]Phenol
LOUPRKONTZGTKE-NIHZBZNOSA-N	Quinidine
BFSMWENDZZIWPW-UHFFFAOYSA-N	Isopropamide
ZSXWVPXJLXTOQQ-ZRGCPWHVSA-N	11-TRANS-13-TRANS-15-CIS-OCTADECATRIENOIC ACID
SHZKQBHERIJWAO-AATRIKPKSA-N	Grn163l
PMMYEEVYMWASQN-WUCPZUCCSA-N	Hydroxyproline
JCBIVZZPXRZKTI-UHFFFAOYSA-N	Hydroxychloroquine
YIFIDWHAVPVPSD-CJUKMMNNSA-N	Mitomycin
BOCZYIUKFAQNLG-OKLSWEBGSA-N	Fluvastatin
AVKUERGKIZMTKX-OAYJICASSA-M	Ampicillin
AELCINSCMGFISI-RKDXNWHRSA-N	Tranylcypromine
DNDFSAFOLORTFD-SNAWJCMRSA-N	3-Trimethylsilylsuccinic Acid
XQFRJNBWHJMXHO-RRKCRQDMSA-N	Idoxuridine
HOMGKSMUEGBAAB-UHFFFAOYSA-N	Ifosfamide
KTUFNOKKBVMGRW-UHFFFAOYSA-N	Imatinib
IMYZQPCYWPFTAG-UHFFFAOYSA-N	Mecamylamine
WRPMDTWVLJJHMV-KHOBFWCSSA-N	UNDECA-3,7-DIENE-1,3,7,11-TETRACARBALDEHYDE
GQECVRZDTXJRPX-IMJSIDKUSA-N	4,5-Dehydro-L-Iduronic Acid
NGDRRYUVFMYKDX-HNZGPLJFSA-N	Chlorophyll A
DDRJAANPRJIHGJ-UHFFFAOYSA-N	Creatine
